Printing the history of the 100 transactions using BoriCoin in the following format:
['Current block data', 'Current block hash']
['James Mervyn sends 988.83 BoriCoins to Carl Sanfilippo-a80574e9c51bf7b6f9b5719b4f7009a64e7ae61168decdfd99f8f419d51e4305', '5b8d234e712296b386eb43a201e0d117de83bff48aadbb377c9d9182b196eeae']
['Richard Taube sends 425.66 BoriCoins to Lloyd Lendon-5b8d234e712296b386eb43a201e0d117de83bff48aadbb377c9d9182b196eeae', '0ce51fc0c80dbe40e047844d141972fb562028b7bed617c5e05f957a2d297b23']
['Carmen Percy sends 39.03 BoriCoins to Billie Burkett-0ce51fc0c80dbe40e047844d141972fb562028b7bed617c5e05f957a2d297b23', '1638b41157aa0eb0e37e07339d59874cb3c725a4370eae37fb2a2dfac7cf84a1']
['Thomasine Mclemore sends 840.9 BoriCoins to Michael Wilcox-1638b41157aa0eb0e37e07339d59874cb3c725a4370eae37fb2a2dfac7cf84a1', '029b8551371f3c1f3b4b9507b13e4a4a064463ba47fda38f32542a839f2cecaf']
['Carol Mcmanemy sends 423.84 BoriCoins to Hannah Jones-029b8551371f3c1f3b4b9507b13e4a4a064463ba47fda38f32542a839f2cecaf', '98913236397c3e7aa9783575fd4193d106c626b6eafbff67dc85b1c9a8ee8e15']
['Freddie Depner sends 198.54 BoriCoins to Brian Maria-98913236397c3e7aa9783575fd4193d106c626b6eafbff67dc85b1c9a8ee8e15', '7f3856a0bb3c31652aa4afcaeabfd81e4dd0f08333043ec81e39e51da38249e9']
['Janice Olivas sends 682.26 BoriCoins to Dorothy Lando-7f3856a0bb3c31652aa4afcaeabfd81e4dd0f08333043ec81e39e51da38249e9', 'e17a9aefbb0a56bf1208cfb7fb74ff76b9ce38a56f1b90bc9a1c1d61513ac990']
['Lonna Martin sends 403.09 BoriCoins to Brian Ainsley-e17a9aefbb0a56bf1208cfb7fb74ff76b9ce38a56f1b90bc9a1c1d61513ac990', '77cd117f71d913a7fe745f433a909c6292976c0573b067ec6dbdbb7af414d67e']
['Jennifer Thomas sends 618.68 BoriCoins to William Gonzalas-77cd117f71d913a7fe745f433a909c6292976c0573b067ec6dbdbb7af414d67e', 'e5c354111e77c19ba995372e812cb4856ebb981c1805070fce0f235bfd0c7664']
['Ashanti Mayer sends 558.01 BoriCoins to Stephen Mooney-e5c354111e77c19ba995372e812cb4856ebb981c1805070fce0f235bfd0c7664', '7e1b128287e37b9eefde40751fc2096d5ba47e65c0fa0967f4ca7c388aa33d1b']
